id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
714869520968552375,Guest suite in Oakland · ★4.91 · 1 bedroom · 1 bed · 1 bath,7486964,Cynthia,,Adams Point,37.81177,-122.25404,Entire home/apt,109,4,11,2023-06-20,2.06,1,112,11,
715338200686252587,Guest suite in Oakland · ★4.96 · Studio · 1 bed · 1 bath,34059064,Diana,,Trestle Glen,37.80857,-122.23229,Entire home/apt,100,2,26,2023-06-23,2.94,1,282,26,
715484067438308588,Home in Oakland · 2 bedrooms · 2 beds · 1 private bath,58471027,Randi,,Forestland,37.83836,-122.19619,Private room,146,7,1,2023-01-01,0.17,1,0,1,
716202707380550135,Rental unit in Oakland · 1 bedroom · 1 bed · 2 baths,263502162,Landing,,Northgate,37.81285,-122.26681,Entire home/apt,223,30,0,,,6,0,0,
716736177928718361,Rental unit in Oakland · Studio · 1 bed · 1 bath,2293401,Hayden,,Adams Point,37.80918,-122.25161,Entire home/apt,86,31,0,,,5,5,0,
716927799744923083,Home in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,133001506,Max,,Forestland,37.839921711569446,-122.19574008412498,Private room,69,3,3,2023-05-26,0.33,4,74,3,
718313878832951214,Home in Oakland · 1 bedroom · 1 bed · 1 shared bath,448985224,Raiden,,Upper Dimond,37.79968,-122.21315,Private room,41,5,0,,,2,364,0,
718815550379774912,Rental unit in Oakland · 1 bedroom · 1 bed · 1 shared bath,465986586,Charles,,Frick,37.76984,-122.17432,Shared room,39,3,2,2023-05-17,0.24,8,89,2,
719485705253542610,Rental unit in Oakland · ★4.92 · Studio · 1 bed · 1 bath,139574430,Eric,,Bella Vista,37.80041,-122.2378,Entire home/apt,77,3,25,2023-06-22,2.75,2,61,25,
720268756058370577,Condo in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 private bath,26607006,Vanessa,,Old City-Produce And Waterfront,37.80426,-122.27819,Private room,90,1,10,2023-06-14,1.18,1,35,10,
720371569444397788,Condo in Oakland · ★4.88 · 2 bedrooms · 2 beds · 2 baths,29944108,Steve,,Oak Center,37.808,-122.29013,Entire home/apt,199,2,26,2023-06-15,3.41,1,294,26,
720496303251018224,Bed and breakfast in Oakland · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,20708039,Sarah,,Bancroft Business-Havenscourt,37.76637,-122.18811,Private room,99,1,5,2023-06-03,0.55,1,365,5,
721099070510521747,Home in Berkeley · ★5.0 · 1 bedroom · 1 bed · 1 bath,9754773,Anja-Karina,,Bushrod,37.85238,-122.26215,Entire home/apt,52,14,3,2023-03-18,0.45,1,5,3,
721278272338431430,Home in Oakland · ★5.0 · 3 bedrooms · 4 beds · 3 baths,6078143,Michelle,,Piedmont Pines,37.81529,-122.19242,Entire home/apt,871,1,22,2023-05-22,2.68,1,326,22,
721278912076829703,Home in Oakland · ★4.83 · 2 bedrooms · 2 beds · 1 bath,4589076,Juliana,,Maxwell Park,37.77805,-122.19184,Entire home/apt,180,2,6,2023-01-22,0.80,1,50,6,
721363500654097833,Home in Oakland · 4 bedrooms · 7 beds · 2.5 baths,307933687,Aloy,,Seminary,37.76605,-122.19953,Entire home/apt,727,1,0,,,12,320,0,
721746942884416491,Condo in Oakland · ★4.94 · 1 bedroom · 1 bed · 1 bath,478713477,Riza And Miguel,,Grand Lake,37.81956,-122.25284,Entire home/apt,135,1,16,2023-06-05,2.03,5,325,16,
721840871534977786,Home in Oakland · 1 bedroom · 1 bed · 1.5 shared baths,15300423,Meg & Cheney,,Piedmont Avenue,37.8263216,-122.2494141,Private room,125,2,1,2022-12-12,0.15,1,178,1,
722578469258628029,Home in Berkeley · 1 bedroom · 1 bed · 1 private bath,107730533,Ed,,Claremont,37.85668,-122.22458,Private room,109,3,1,2023-03-19,0.31,1,327,1,
723930599005745582,Serviced apartment in Oakland · 1 bedroom · 1 bed · 1 bath,250411802,Zaid,,Lakewide,37.80577,-122.26622,Entire home/apt,200,30,0,,,2,155,0,
724675060534630675,Condo in Oakland · 1 bedroom · 1 bed · 1 bath,481151196,Julie,,Lakewide,37.80599379924062,-122.26397202581428,Entire home/apt,140,30,1,2023-04-17,0.43,1,225,1,
724856100361608698,Villa in Oakland · ★5.0 · 1 bedroom · 1 bed · 9 shared baths,6722695,E.J. Blumberg,,Highland Terrace,37.79459,-122.23991,Private room,100,28,3,2023-05-01,0.43,28,335,3,
724867320780351706,Villa in Oakland · ★5.0 · 1 bedroom · 1 bed · 9 shared baths,6722695,E.J. Blumberg,,Clinton,37.79596,-122.242,Private room,100,28,3,2023-02-01,0.39,28,2,3,
